	state	city	municipality	graced_emissions_2019(kgC/hr)	graced_emissions_2019(metric tonnes/year)
265	DistritoFederal	ÁlvaroObregón	ÁlvaroObregón, DistritoFederal	10234508.427361438	245628.20225667453
266	DistritoFederal	Azcapotzalco	Azcapotzalco, DistritoFederal	6219636.202787058	149271.2688668894
267	DistritoFederal	BenitoJuárez	BenitoJuárez, DistritoFederal	5525945.289918688	132622.68695804852
268	DistritoFederal	Coyoacán	Coyoacán, DistritoFederal	11135423.162090832	267250.15589018
269	DistritoFederal	CuajimalpadeMorelos	CuajimalpadeMorelos, DistritoFederal	3453591.7767864484	82886.20264287476
270	DistritoFederal	Cuauhtémoc	Cuauhtémoc, DistritoFederal	7091936.2375146765	170206.46970035226
271	DistritoFederal	GustavoA.Madero	GustavoA.Madero, DistritoFederal	15281390.883793548	366753.38121104514
272	DistritoFederal	Iztacalco	Iztacalco, DistritoFederal	4473069.532538893	107353.66878093343
273	DistritoFederal	Iztapalapa	Iztapalapa, DistritoFederal	19166998.73054927	460007.96953318245
274	DistritoFederal	LaMagdalenaContreras	LaMagdalenaContreras, DistritoFederal	3093292.132345687	74239.01117629648
275	DistritoFederal	MiguelHidalgo	MiguelHidalgo, DistritoFederal	7451066.320621243	178825.59169490982
276	DistritoFederal	MilpaAlta	MilpaAlta, DistritoFederal	3167678.4149724613	76024.28195933907
277	DistritoFederal	Tláhuac	Tláhuac, DistritoFederal	7056569.0081685735	169357.65619604575
278	DistritoFederal	Tlalpan	Tlalpan, DistritoFederal	9769028.370904703	234456.68090171285
279	DistritoFederal	VenustianoCarranza	VenustianoCarranza, DistritoFederal	6652444.358082935	159658.66459399046
280	DistritoFederal	Xochimilco	Xochimilco, DistritoFederal	6940366.087845957	166568.78610830294
281	Durango	Canatlán	Canatlán, Durango	1616313.7808615463	38791.53074067711
282	Durango	Canelas	Canelas, Durango	458716.12729855743	11009.18705516538
283	Durango	ConetodeComonfort	ConetodeComonfort, Durango	96024.42407853206	2304.5861778847698
284	Durango	Cuencamé	Cuencamé, Durango	5263425.372124853	126322.20893099646
285	Durango	Durango	Durango, Durango	23056844.290490996	553364.2629717839
286	Durango	ElOro	ElOro, Durango	170267.9348961467	4086.4304375075208
287	Durango	GeneralSimónBolívar	GeneralSimónBolívar, Durango	153031.03705073922	3672.7448892177413
288	Durango	GómezPalacio	GómezPalacio, Durango	10271688.096362017	246520.5143126884
289	Durango	GuadalupeVictoria	GuadalupeVictoria, Durango	2530460.362125461	60731.04869101106
290	Durango	Guanaceví	Guanaceví, Durango	775491.8668671772	18611.80480481225
291	Durango	Hidalgo	Hidalgo, Durango	1723274.2477061427	41358.58194494742
292	Durango	Indé	Indé, Durango	398817.32655478606	9571.615837314866
293	Durango	Lerdo	Lerdo, Durango	28182053.7077345	676369.288985628
294	Durango	Mapimí	Mapimí, Durango	4921049.58868439	118105.19012842535
295	Durango	Mezquital	Mezquital, Durango	2302513.8274658625	55260.331859180704
296	Durango	Nazas	Nazas, Durango	603798.3864247277	14491.161274193466
297	Durango	NombredeDios	NombredeDios, Durango	1216819.4191620336	29203.666059888805
298	Durango	NuevoIdeal	NuevoIdeal, Durango	835211.2306559558	20045.06953574294
299	Durango	Ocampo	Ocampo, Durango	946550.1897526546	22717.204554063712
300	Durango	Otáez	Otáez, Durango	11860946.959546335	284662.72702911205
