	NAME	LABEL	FIPSCODE	municipality	edgar_emission_2015(tons_CO2)
27	Traverse City	City of Traverse City	80340	City of Traverse City-80340	3534.4903479089517
28	Adrian	City of Adrian	00440	City of Adrian-00440	4408.97880536428
29	Royal Oak	City of Royal Oak	70040	City of Royal Oak-70040	79660.2358832999
30	Frankfort	City of Frankfort	30260	City of Frankfort-30260	566.4471661958322
31	Crystal Falls	City of Crystal Falls	19140	City of Crystal Falls-19140	11.501397699505098
32	Essexville	City of Essexville	26420	City of Essexville-26420	328.8689452821485
33	Walker	City of Walker	82960	City of Walker-82960	60786.7050430467
34	Center Line	City of Center Line	14320	City of Center Line-14320	13357.972530399511
35	Hazel Park	City of Hazel Park	37420	City of Hazel Park-37420	20562.452703711333
36	Harrisville	City of Harrisville	36860	City of Harrisville-36860	2.6083498297062104
37	Wayland	City of Wayland	84880	City of Wayland-84880	569.6916248129893
38	Iron River	City of Iron River	40980	City of Iron River-40980	108.05313418062542
39	Brighton	City of Brighton	10620	City of Brighton-10620	5399.924222735269
40	Potterville	City of Potterville	66100	City of Potterville-66100	1181.1434899457113
41	Dearborn Heights	City of Dearborn Heights	21020	City of Dearborn Heights-21020	98277.40915752068
42	Clio	City of Clio	16620	City of Clio-16620	99.32264202832908
43	Wayne	City of Wayne	84940	City of Wayne-84940	44650.98384722257
44	Grand Rapids	City of Grand Rapids	34000	City of Grand Rapids-34000	133280.81602090716
45	Au Gres	City of Au Gres	04120	City of Au Gres-04120	167.14580491601112
46	Fenton	City of Fenton	27760	City of Fenton-27760	3506.3042370202643
47	Harbor Beach	City of Harbor Beach	36460	City of Harbor Beach-36460	95.54400821181657
